Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,16.200001,16.715000,16.170000,16.510000,16.510000,3578200
2018-05-09,16.510000,16.549999,16.170000,16.510000,16.510000,2289800
2018-05-10,16.540001,16.719999,16.370001,16.639999,16.639999,1791000
2018-05-11,16.700001,16.975000,16.500000,16.900000,16.900000,2138500
2018-05-14,16.950001,16.959000,16.450001,16.660000,16.660000,1583000
2018-05-15,16.650000,17.570000,16.575001,17.129999,17.129999,4646400
2018-05-16,17.209999,18.520000,17.150000,18.309999,18.309999,6697400
2018-05-17,18.250000,18.400000,17.790001,17.840000,17.840000,4480200
2018-05-18,17.860001,18.070000,17.580000,18.000000,18.000000,2952600
2018-05-21,18.030001,18.080000,17.735001,17.969999,17.969999,1497800
2018-05-22,18.040001,18.160000,17.760000,17.809999,17.809999,1621000
2018-05-23,17.780001,18.180000,17.750000,17.889999,17.889999,1717600
2018-05-24,17.910000,18.500000,17.790001,18.389999,18.389999,2888000
2018-05-25,18.459999,18.930000,18.340000,18.879999,18.879999,4151000
2018-05-29,18.650000,18.850000,18.305000,18.570000,18.570000,2707500
2018-05-30,18.650000,19.290001,18.650000,19.200001,19.200001,3291500
2018-05-31,19.250000,19.535000,18.879999,18.920000,18.920000,3968000
2018-06-01,19.120001,19.430000,18.950001,19.330000,19.330000,2939300
2018-06-04,19.520000,20.600000,19.420000,20.469999,20.469999,5946100
2018-06-05,20.469999,21.299999,20.100000,21.299999,21.299999,5357300
2018-06-06,21.459999,22.580000,21.320000,22.100000,22.100000,9963000
2018-06-07,22.389999,22.459999,21.410000,21.650000,21.650000,5458400
2018-06-08,21.570000,22.400000,21.379999,22.400000,22.400000,4490000
2018-06-11,22.440001,22.500000,22.110001,22.170000,22.170000,4748400
2018-06-12,22.290001,22.299999,21.950001,22.129999,22.129999,3171800
2018-06-13,22.040001,22.280001,21.730000,21.770000,21.770000,3294100
2018-06-14,21.790001,22.120001,21.410000,21.730000,21.730000,3730300
2018-06-15,21.549999,21.980000,21.340000,21.469999,21.469999,4358900
